smiles,ic50,glide_ROCK2_6ED6,glide_ROCK2_6ED6_3f,glide_ROCK2_4WOT,vina_ROCK2_6ED6,vina_ROCK2_6ED6_3f,vina_ROCK2_4WOT,cluster
COc1cc(C(=O)N2CCC[C@@H]2C(=O)Nc2ccccc2)ccc1-c1cn[nH]c1,463.0,-9.03417,-8.60468,-8.78625,-11.901,-12.688,-12.4,5
COc1cc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2c2ccccc2)ccc1-c1cn[nH]c1,60.2,-9.3469,-10.3176,-7.74794,-13.807,-13.546,-12.711,5
COc1ccccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,1850.0,-7.21403,-9.17621,-8.88532,-11.385,-11.449,-11.846,0
COc1ccccc1CNC(=O)c1ccc2c(c1)OCc1cnccc1-2,158.0,-7.42249,-9.2169,-8.94223,-12.014,-11.982,-11.662,1
COc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,6.32,-7.91982,-9.31185,-8.46686,-12.459,-12.211,-11.64,1
COc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,16.0,-9.18379,-10.9208,-9.19374,-10.611,-11.645,-11.711,0
COc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,102.0,-6.93716,-8.34978,-7.3318,-11.29,-11.744,-11.006,0
COc1ccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cc1OC,2150.0,-8.89291,-9.30884,-10.211,-11.88,-12.188,-12.445,1
COc1ccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cc1,1640.0,-8.48307,-8.96289,-9.01878,-11.098,-11.64,-11.913,1
COc1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc(OC)c1,80.0,-10.3993,-9.48061,-8.70575,-11.591,-12.204,-11.078,0
COCCOc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,159.0,-7.31153,-7.46206,-9.33495,-13.784,-13.148,-13.327,1
COC(=O)c1cccc([C@H]2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,5.83,-9.28011,-10.8006,-10.1047,-14.187,-13.788,-12.024,5
COC(=O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,2.51,-9.38827,-8.9763,-8.42295,-13.477,-12.686,-12.617,1
CSc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,144.0,-9.78264,-8.29912,-9.34712,-11.087,-11.52,-11.897,0
CSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,65.8,-7.63253,-7.86007,-8.20821,-10.253,-10.842,-10.699,0
CSc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1,71.6,-7.85222,-8.74285,-9.23805,-10.803,-11.532,-11.081,0
CSc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,74.5,-7.01932,-9.17113,-8.69331,-10.159,-11.476,-10.83,0
CS(=O)(=O)c1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,721.0,-9.05776,-9.66222,-9.12892,-11.372,-11.547,-12.019,0
CS(=O)(=O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,62.1,-8.71329,-9.46014,-8.66415,-11.924,-12.463,-12.124,1
CS(=O)(=O)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,358.0,-9.81348,-9.86636,-8.53931,-11.956,-12.352,-11.599,0
CS(=O)(=O)Cc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,137.0,-8.79184,-9.899,-8.69399,-12.637,-12.465,-12.523,0
CS(=O)(=O)Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,11700.0,-10.611,-7.82653,-7.88105,-11.384,-11.821,-12.332,0
CS(=O)(=O)Nc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,62.6,-8.9466,-8.77324,-9.58331,-12.721,-12.987,-12.61,0
CS(=O)(=O)Nc1cccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,101.0,-5.2777,-6.60438,-6.56162,-12.281,-12.591,-13.313,0
CS(=O)(=O)Nc1cccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,49.4,-8.30743,-8.83452,-8.33721,-12.419,-13.108,-12.649,0
CS(=O)(=O)Nc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,32.5,-8.71952,-9.23371,-8.46783,-12.862,-12.867,-13.047,1
O=C(NCc1ccccc1F)c1ccc2c(c1)OCc1cnccc1-2,38.0,-7.26009,-9.70455,-9.04941,-11.639,-11.595,-11.564,1
O=C(NCc1cccc(F)c1)c1ccc2c(c1)OCc1cnccc1-2,41.3,-10.1115,-9.6704,-9.71087,-12.497,-11.966,-12.026,1
O=C(NCc1c(F)cccc1F)c1ccc2c(c1)OCc1cnccc1-2,123.0,-9.75223,-7.04856,-8.72448,-12.362,-12.225,-12.103,1
Fc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1F,10.0,-10.1067,-10.0086,-8.27551,-10.968,-12.249,-11.568,0
Fc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,25.0,-8.09192,-9.09647,-9.33598,-11.071,-11.319,-11.288,0
Fc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1F,111.0,-9.74152,-9.59543,-7.94811,-10.919,-12.677,-11.528,0
Fc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1F,58.5,-9.55975,-9.9571,-10.1779,-10.9,-12.27,-11.438,0
O=C(NCc1ccc(F)cc1)c1ccc2c(c1)OCc1cnccc1-2,59.8,-7.08756,-8.46274,-9.76666,-11.823,-11.618,-11.546,1
O=C(NCc1cc(F)cc(F)c1)c1ccc2c(c1)OCc1cnccc1-2,141.0,-8.76071,-8.60468,-8.78625,-12.299,-11.99,-11.989,1
O=C(NCc1ccccc1C(F)(F)F)c1ccc2c(c1)OCc1cnccc1-2,95.9,-9.33032,-9.90813,-10.1876,-13.13,-12.202,-12.313,1
FC(F)(F)c1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,223.0,-9.17085,-9.0058,-8.21781,-11.943,-12.119,-12.619,0
O=C(NCc1cccc(C(F)(F)F)c1)c1ccc2c(c1)OCc1cnccc1-2,98.3,-9.86392,-10.1331,-8.0965,-12.785,-13.01,-12.541,1
O=C(NCc1ccc(C(F)(F)F)cc1)c1ccc2c(c1)OCc1cnccc1-2,2100.0,-7.37508,-8.16855,-8.71937,-12.101,-12.54,-12.737,1
O=C(NCc1cccc(OC(F)(F)F)c1)c1ccc2c(c1)OCc1cnccc1-2,602.0,-9.58878,-9.35677,-8.1331,-13.013,-13.358,-12.946,1
